date,open,high,low,close,volume
2018-02-25 22:00:00+00:00,1.26496,1.2663,1.26405,1.26479,8890
2018-02-26 02:00:00+00:00,1.26479,1.26479,1.26194,1.26212,7364
2018-02-26 06:00:00+00:00,1.26213,1.26409,1.26164,1.26286,13342
2018-02-26 10:00:00+00:00,1.26286,1.2681,1.26233,1.26779,11694
2018-02-26 14:00:00+00:00,1.26778,1.2713,1.2675,1.26871,19515
2018-02-26 18:00:00+00:00,1.26866,1.2694,1.26683,1.26883,9809
2018-02-26 22:00:00+00:00,1.26819,1.26899,1.26725,1.26734,8613
2018-02-27 02:00:00+00:00,1.26731,1.26899,1.26698,1.26825,6459
2018-02-27 06:00:00+00:00,1.26825,1.26947,1.26773,1.26925,12751
2018-02-27 10:00:00+00:00,1.26926,1.27337,1.2687,1.27298,18150
2018-02-27 14:00:00+00:00,1.27297,1.27638,1.27188,1.27377,33754
2018-02-27 18:00:00+00:00,1.2738,1.27791,1.27328,1.27767,15455
2018-02-27 22:00:00+00:00,1.27788,1.27806,1.27665,1.27764,9088
2018-02-28 02:00:00+00:00,1.27763,1.278,1.2772,1.27726,7794
2018-02-28 06:00:00+00:00,1.27729,1.27778,1.27624,1.27669,12690
2018-02-28 10:00:00+00:00,1.27669,1.27915,1.27634,1.27853,13927
2018-02-28 14:00:00+00:00,1.27853,1.28241,1.27788,1.28139,26976
2018-02-28 18:00:00+00:00,1.28138,1.28425,1.28131,1.2834,16381
2018-02-28 22:00:00+00:00,1.28311,1.28499,1.28298,1.28419,8894
2018-03-01 02:00:00+00:00,1.2842,1.28492,1.28358,1.28415,7115
2018-03-01 06:00:00+00:00,1.28417,1.28557,1.28277,1.28543,14225
2018-03-01 10:00:00+00:00,1.28543,1.28683,1.28425,1.28467,15510
2018-03-01 14:00:00+00:00,1.28468,1.28812,1.28141,1.28731,41848
2018-03-01 18:00:00+00:00,1.28731,1.28967,1.28098,1.28391,42353
2018-03-01 22:00:00+00:00,1.28334,1.2837,1.28206,1.28267,8579
2018-03-02 02:00:00+00:00,1.28267,1.28427,1.28266,1.28307,8817
2018-03-02 06:00:00+00:00,1.28315,1.28638,1.28312,1.2863,12490
2018-03-02 10:00:00+00:00,1.28637,1.29049,1.28508,1.28642,20631
2018-03-02 14:00:00+00:00,1.28644,1.29059,1.28641,1.29014,30459
2018-03-02 18:00:00+00:00,1.29014,1.29169,1.28699,1.28879,20337
2018-03-04 22:00:00+00:00,1.28825,1.29002,1.28737,1.28882,10331
2018-03-05 02:00:00+00:00,1.28882,1.29033,1.28882,1.28966,8067
2018-03-05 06:00:00+00:00,1.28965,1.29124,1.28874,1.28904,18286
2018-03-05 10:00:00+00:00,1.28902,1.29669,1.28896,1.29649,17789
2018-03-05 14:00:00+00:00,1.2965,1.29903,1.29635,1.29794,25896
2018-03-05 18:00:00+00:00,1.29793,1.30021,1.29635,1.29663,15806
2018-03-05 22:00:00+00:00,1.29739,1.29887,1.29634,1.29726,13053
2018-03-06 02:00:00+00:00,1.29728,1.29831,1.297,1.29786,7129
2018-03-06 06:00:00+00:00,1.29791,1.29961,1.29731,1.29823,15974
2018-03-06 10:00:00+00:00,1.29824,1.29832,1.2863,1.29025,24787
2018-03-06 14:00:00+00:00,1.29024,1.29265,1.28761,1.28998,27742
2018-03-06 18:00:00+00:00,1.28997,1.2905,1.28765,1.28779,18126
2018-03-06 22:00:00+00:00,1.28802,1.29627,1.28771,1.29173,20339
2018-03-07 02:00:00+00:00,1.29171,1.29362,1.29159,1.29334,12432
2018-03-07 06:00:00+00:00,1.29336,1.29428,1.29209,1.29381,18065
2018-03-07 10:00:00+00:00,1.29381,1.29421,1.28927,1.29138,21601
2018-03-07 14:00:00+00:00,1.29138,1.30019,1.29046,1.29759,41988
2018-03-07 18:00:00+00:00,1.29761,1.29888,1.28907,1.29129,26111
2018-03-07 22:00:00+00:00,1.29094,1.29245,1.28961,1.28976,11747
2018-03-08 02:00:00+00:00,1.28978,1.28984,1.2868,1.28923,9158
2018-03-08 06:00:00+00:00,1.2893,1.29313,1.28862,1.2927,16376
2018-03-08 10:00:00+00:00,1.29271,1.29525,1.29049,1.29176,22078
2018-03-08 14:00:00+00:00,1.29168,1.29626,1.28827,1.2954,34267
2018-03-08 18:00:00+00:00,1.29539,1.29601,1.28895,1.28993,27645
2018-03-08 22:00:00+00:00,1.28977,1.29104,1.28889,1.29076,11507
2018-03-09 02:00:00+00:00,1.29073,1.29103,1.28926,1.28937,8332
2018-03-09 06:00:00+00:00,1.28937,1.28991,1.28665,1.28713,15673
2018-03-09 10:00:00+00:00,1.28708,1.28959,1.28251,1.28594,27739
2018-03-09 14:00:00+00:00,1.28594,1.28736,1.28159,1.28465,32058
2018-03-09 18:00:00+00:00,1.28463,1.28501,1.28119,1.28186,18128
2018-03-11 21:00:00+00:00,1.2818,1.28234,1.28111,1.28143,5026
2018-03-12 01:00:00+00:00,1.28143,1.28144,1.28041,1.28064,8042
2018-03-12 05:00:00+00:00,1.28057,1.28259,1.28053,1.2816,10419
2018-03-12 09:00:00+00:00,1.28158,1.284,1.28148,1.28309,11723
2018-03-12 13:00:00+00:00,1.28308,1.2842,1.28154,1.28379,17553
2018-03-12 17:00:00+00:00,1.28382,1.28468,1.28221,1.28446,11490
2018-03-12 21:00:00+00:00,1.28435,1.28475,1.28368,1.28396,3808
2018-03-13 01:00:00+00:00,1.28395,1.28505,1.28339,1.28501,5184
2018-03-13 05:00:00+00:00,1.28502,1.28622,1.28414,1.28589,10992
2018-03-13 09:00:00+00:00,1.28589,1.28787,1.28311,1.28519,19134
2018-03-13 13:00:00+00:00,1.28518,1.29483,1.28332,1.29244,39199
2018-03-13 17:00:00+00:00,1.29242,1.29857,1.29186,1.297,19110
2018-03-13 21:00:00+00:00,1.29656,1.29658,1.29425,1.29565,7389
2018-03-14 01:00:00+00:00,1.29564,1.29564,1.29386,1.29466,7416
2018-03-14 05:00:00+00:00,1.29465,1.29613,1.29382,1.29404,14989
2018-03-14 09:00:00+00:00,1.29404,1.29669,1.29357,1.295,17730
2018-03-14 13:00:00+00:00,1.29498,1.29775,1.29244,1.29364,30696
2018-03-14 17:00:00+00:00,1.29364,1.29595,1.29218,1.29557,14022
2018-03-14 21:00:00+00:00,1.29555,1.29644,1.29493,1.29566,7235
2018-03-15 01:00:00+00:00,1.29567,1.29659,1.29486,1.29508,6207
2018-03-15 05:00:00+00:00,1.29515,1.29636,1.29508,1.2954,12847
2018-03-15 09:00:00+00:00,1.29542,1.29885,1.29465,1.29876,15459
2018-03-15 13:00:00+00:00,1.29877,1.30656,1.29831,1.30501,31898
2018-03-15 17:00:00+00:00,1.30501,1.30689,1.30419,1.30544,13381
2018-03-15 21:00:00+00:00,1.30498,1.30685,1.30479,1.30632,8744
2018-03-16 01:00:00+00:00,1.30631,1.30732,1.3056,1.30625,8335
2018-03-16 05:00:00+00:00,1.30623,1.30721,1.30485,1.30633,8183
2018-03-16 09:00:00+00:00,1.30631,1.30966,1.30536,1.30778,14302
2018-03-16 13:00:00+00:00,1.30776,1.30984,1.30728,1.30904,23537
2018-03-16 17:00:00+00:00,1.30909,1.3106,1.30891,1.31007,10018
2018-03-18 21:00:00+00:00,1.30974,1.3103,1.30913,1.31005,7065
2018-03-19 01:00:00+00:00,1.31005,1.31204,1.30992,1.31201,8087
2018-03-19 05:00:00+00:00,1.31199,1.31259,1.30988,1.31174,10920
2018-03-19 09:00:00+00:00,1.31174,1.31194,1.30474,1.30842,21195
2018-03-19 13:00:00+00:00,1.30848,1.31041,1.30742,1.30833,25432
2018-03-19 17:00:00+00:00,1.30833,1.30912,1.3054,1.30784,16686
2018-03-19 21:00:00+00:00,1.30788,1.30875,1.30743,1.30759,5622
2018-03-20 01:00:00+00:00,1.30759,1.30862,1.3063,1.30844,7361
2018-03-20 05:00:00+00:00,1.30845,1.30879,1.30591,1.30608,15121
2018-03-20 09:00:00+00:00,1.30606,1.30888,1.30536,1.30683,15129
2018-03-20 13:00:00+00:00,1.30676,1.31048,1.30592,1.30815,22508
2018-03-20 17:00:00+00:00,1.30816,1.3088,1.30698,1.30721,10849
2018-03-20 21:00:00+00:00,1.30749,1.30808,1.30518,1.30532,4420
2018-03-21 01:00:00+00:00,1.30535,1.30537,1.30112,1.30178,8848
2018-03-21 05:00:00+00:00,1.30177,1.30467,1.30144,1.30444,10006
2018-03-21 09:00:00+00:00,1.30438,1.30558,1.29764,1.29858,21766
2018-03-21 13:00:00+00:00,1.29852,1.2994,1.29473,1.29624,22989
2018-03-21 17:00:00+00:00,1.29623,1.29726,1.28911,1.29057,55337
2018-03-21 21:00:00+00:00,1.29066,1.29115,1.28907,1.28922,17604
2018-03-22 01:00:00+00:00,1.28922,1.29029,1.28812,1.28957,7650
2018-03-22 05:00:00+00:00,1.28957,1.29021,1.2847,1.28514,13269
2018-03-22 09:00:00+00:00,1.28516,1.29141,1.28305,1.28984,23879
2018-03-22 13:00:00+00:00,1.28982,1.29375,1.28902,1.29059,34506
2018-03-22 17:00:00+00:00,1.2906,1.29503,1.28785,1.29408,21590
2018-03-22 21:00:00+00:00,1.29418,1.29464,1.29128,1.29151,12320
2018-03-23 01:00:00+00:00,1.29153,1.29226,1.29059,1.29146,10078
2018-03-23 05:00:00+00:00,1.29145,1.29177,1.28961,1.29107,16176
2018-03-23 09:00:00+00:00,1.29109,1.29367,1.28361,1.28629,23797
2018-03-23 13:00:00+00:00,1.2863,1.2878,1.28257,1.28658,33299
2018-03-23 17:00:00+00:00,1.2866,1.29044,1.28249,1.28998,27234
2018-03-25 21:00:00+00:00,1.28985,1.29005,1.28643,1.2867,6393
2018-03-26 01:00:00+00:00,1.28671,1.28704,1.2861,1.287,6566
2018-03-26 05:00:00+00:00,1.28701,1.28764,1.28427,1.28588,12210
2018-03-26 09:00:00+00:00,1.28587,1.29109,1.28416,1.2905,15235
2018-03-26 13:00:00+00:00,1.2905,1.29237,1.28651,1.28841,28134
2018-03-26 17:00:00+00:00,1.2884,1.28911,1.28414,1.28431,14536
2018-03-26 21:00:00+00:00,1.28511,1.28596,1.28351,1.28461,5182
2018-03-27 01:00:00+00:00,1.28461,1.28472,1.28295,1.28341,6771
2018-03-27 05:00:00+00:00,1.28341,1.28661,1.28166,1.28592,13132
2018-03-27 09:00:00+00:00,1.28594,1.29036,1.28557,1.28627,16861
2018-03-27 13:00:00+00:00,1.28627,1.28848,1.28407,1.28661,25354
2018-03-27 17:00:00+00:00,1.28661,1.2898,1.28609,1.28926,19902
2018-03-27 21:00:00+00:00,1.28884,1.28917,1.28745,1.28759,8812
2018-03-28 01:00:00+00:00,1.28759,1.2881,1.28703,1.28808,6938
2018-03-28 05:00:00+00:00,1.28809,1.29096,1.28777,1.2908,15424
2018-03-28 09:00:00+00:00,1.29077,1.2913,1.28642,1.29067,16386
2018-03-28 13:00:00+00:00,1.29062,1.29352,1.28668,1.28923,37322
